행정구역,2010년01월_총인구수,2010년01월_세대수,2010년01월_남자 인구수,2010년01월_여자 인구수,2010년02월_총인구수,2010년02월_세대수,2010년02월_남자 인구수,2010년02월_여자 인구수,2010년03월_총인구수,2010년03월_세대수,2010년03월_남자 인구수,2010년03월_여자 인구수,2010년04월_총인구수,2010년04월_세대수,2010년04월_남자 인구수,2010년04월_여자 인구수,2010년05월_총인구수,2010년05월_세대수,2010년05월_남자 인구수,2010년05월_여자 인구수,2010년06월_총인구수,2010년06월_세대수,2010년06월_남자 인구수,2010년06월_여자 인구수,2010년07월_총인구수,2010년07월_세대수,2010년07월_남자 인구수,2010년07월_여자 인구수,2010년08월_총인구수,2010년08월_세대수,2010년08월_남자 인구수,2010년08월_여자 인구수,2010년09월_총인구수,2010년09월_세대수,2010년09월_남자 인구수,2010년09월_여자 인구수,2010년10월_총인구수,2010년10월_세대수,2010년10월_남자 인구수,2010년10월_여자 인구수,2010년11월_총인구수,2010년11월_세대수,2010년11월_남자 인구수,2010년11월_여자 인구수,2010년12월_총인구수,2010년12월_세대수,2010년12월_남자 인구수,2010년12월_여자 인구수
제주특별자치도  (5000000000),562770 ,217905 ,281435 ,281335 ,563079 ,218216 ,281624 ,281455 ,563275 ,218407 ,281704 ,281571 ,563808 ,218717 ,281999 ,281809 ,564348 ,218949 ,282254 ,282094 ,564652 ,219121 ,282415 ,282237 ,565053 ,219365 ,282629 ,282424 ,565389 ,219567 ,282798 ,282591 ,565699 ,219691 ,282965 ,282734 ,570718 ,224411 ,285299 ,285419 ,571118 ,224627 ,285538 ,285580 ,571255 ,224713 ,285582 ,285673 
제주특별자치도 제주시 (5011000000),410568 ,157882 ,204860 ,205708 ,410832 ,158095 ,205040 ,205792 ,411033 ,158156 ,205131 ,205902 ,411541 ,158352 ,205445 ,206096 ,411993 ,158520 ,205654 ,206339 ,412344 ,158670 ,205806 ,206538 ,412768 ,158883 ,206013 ,206755 ,413052 ,159026 ,206159 ,206893 ,413231 ,159097 ,206264 ,206967 ,417015 ,162584 ,207988 ,209027 ,417460 ,162797 ,208206 ,209254 ,417539 ,162824 ,208215 ,209324 
제주특별자치도 서귀포시 (5013000000),152202 ,60023 ,76575 ,75627 ,152247 ,60121 ,76584 ,75663 ,152242 ,60251 ,76573 ,75669 ,152267 ,60365 ,76554 ,75713 ,152355 ,60429 ,76600 ,75755 ,152308 ,60451 ,76609 ,75699 ,152285 ,60482 ,76616 ,75669 ,152337 ,60541 ,76639 ,75698 ,152468 ,60594 ,76701 ,75767 ,153703 ,61827 ,77311 ,76392 ,153658 ,61830 ,77332 ,76326 ,153716 ,61889 ,77367 ,76349 
