행정구역,2020년01월_총인구수,2020년01월_세대수,2020년01월_남자 인구수,2020년01월_여자 인구수,2020년02월_총인구수,2020년02월_세대수,2020년02월_남자 인구수,2020년02월_여자 인구수,2020년03월_총인구수,2020년03월_세대수,2020년03월_남자 인구수,2020년03월_여자 인구수,2020년04월_총인구수,2020년04월_세대수,2020년04월_남자 인구수,2020년04월_여자 인구수,2020년05월_총인구수,2020년05월_세대수,2020년05월_남자 인구수,2020년05월_여자 인구수,2020년06월_총인구수,2020년06월_세대수,2020년06월_남자 인구수,2020년06월_여자 인구수,2020년07월_총인구수,2020년07월_세대수,2020년07월_남자 인구수,2020년07월_여자 인구수,2020년08월_총인구수,2020년08월_세대수,2020년08월_남자 인구수,2020년08월_여자 인구수,2020년09월_총인구수,2020년09월_세대수,2020년09월_남자 인구수,2020년09월_여자 인구수,2020년10월_총인구수,2020년10월_세대수,2020년10월_남자 인구수,2020년10월_여자 인구수,2020년11월_총인구수,2020년11월_세대수,2020년11월_남자 인구수,2020년11월_여자 인구수,2020년12월_총인구수,2020년12월_세대수,2020년12월_남자 인구수,2020년12월_여자 인구수
제주특별자치도  (5000000000),670749 ,293362 ,337231 ,333518 ,670876 ,293932 ,337295 ,333581 ,670508 ,294297 ,337055 ,333453 ,670595 ,295387 ,337119 ,333476 ,670793 ,296803 ,337111 ,333682 ,671316 ,297669 ,337343 ,333973 ,671913 ,298347 ,337587 ,334326 ,672524 ,299051 ,337822 ,334702 ,672948 ,299807 ,337932 ,335016 ,673606 ,300540 ,338190 ,335416 ,674001 ,301100 ,338312 ,335689 ,674635 ,302033 ,338609 ,336026 
제주특별자치도 제주시 (5011000000),489202 ,209614 ,245389 ,243813 ,489456 ,210114 ,245546 ,243910 ,489271 ,210441 ,245378 ,243893 ,489466 ,211344 ,245486 ,243980 ,489734 ,212487 ,245567 ,244167 ,490254 ,213135 ,245805 ,244449 ,490772 ,213706 ,246023 ,244749 ,491184 ,214215 ,246206 ,244978 ,491446 ,214750 ,246224 ,245222 ,491949 ,215301 ,246412 ,245537 ,492072 ,215577 ,246407 ,245665 ,492466 ,216202 ,246588 ,245878 
제주특별자치도 서귀포시 (5013000000),181547 ,83748 ,91842 ,89705 ,181420 ,83818 ,91749 ,89671 ,181237 ,83856 ,91677 ,89560 ,181129 ,84043 ,91633 ,89496 ,181059 ,84316 ,91544 ,89515 ,181062 ,84534 ,91538 ,89524 ,181141 ,84641 ,91564 ,89577 ,181340 ,84836 ,91616 ,89724 ,181502 ,85057 ,91708 ,89794 ,181657 ,85239 ,91778 ,89879 ,181929 ,85523 ,91905 ,90024 ,182169 ,85831 ,92021 ,90148 
