행정구역,2018년01월_총인구수,2018년01월_세대수,2018년01월_남자 인구수,2018년01월_여자 인구수,2018년02월_총인구수,2018년02월_세대수,2018년02월_남자 인구수,2018년02월_여자 인구수,2018년03월_총인구수,2018년03월_세대수,2018년03월_남자 인구수,2018년03월_여자 인구수,2018년04월_총인구수,2018년04월_세대수,2018년04월_남자 인구수,2018년04월_여자 인구수,2018년05월_총인구수,2018년05월_세대수,2018년05월_남자 인구수,2018년05월_여자 인구수,2018년06월_총인구수,2018년06월_세대수,2018년06월_남자 인구수,2018년06월_여자 인구수,2018년07월_총인구수,2018년07월_세대수,2018년07월_남자 인구수,2018년07월_여자 인구수,2018년08월_총인구수,2018년08월_세대수,2018년08월_남자 인구수,2018년08월_여자 인구수,2018년09월_총인구수,2018년09월_세대수,2018년09월_남자 인구수,2018년09월_여자 인구수,2018년10월_총인구수,2018년10월_세대수,2018년10월_남자 인구수,2018년10월_여자 인구수,2018년11월_총인구수,2018년11월_세대수,2018년11월_남자 인구수,2018년11월_여자 인구수,2018년12월_총인구수,2018년12월_세대수,2018년12월_남자 인구수,2018년12월_여자 인구수
제주특별자치도  (5000000000),658167 ,278955 ,331344 ,326823 ,659189 ,279817 ,331872 ,327317 ,660441 ,280910 ,332492 ,327949 ,661511 ,281668 ,333063 ,328448 ,662633 ,282556 ,333603 ,329030 ,663526 ,283304 ,334007 ,329519 ,664579 ,284081 ,334522 ,330057 ,665517 ,284907 ,335034 ,330483 ,666151 ,285467 ,335321 ,330830 ,666686 ,286281 ,335519 ,331167 ,667064 ,286796 ,335696 ,331368 ,667191 ,287104 ,335719 ,331472 
제주특별자치도 제주시 (5011000000),479372 ,198869 ,240759 ,238613 ,479935 ,199430 ,241051 ,238884 ,480776 ,200165 ,241471 ,239305 ,481526 ,200650 ,241862 ,239664 ,482285 ,201273 ,242227 ,240058 ,483001 ,201867 ,242599 ,240402 ,483757 ,202404 ,242933 ,240824 ,484408 ,202981 ,243314 ,241094 ,484817 ,203335 ,243531 ,241286 ,485268 ,203945 ,243707 ,241561 ,485706 ,204358 ,243921 ,241785 ,485946 ,204621 ,243974 ,241972 
제주특별자치도 서귀포시 (5013000000),178795 ,80086 ,90585 ,88210 ,179254 ,80387 ,90821 ,88433 ,179665 ,80745 ,91021 ,88644 ,179985 ,81018 ,91201 ,88784 ,180348 ,81283 ,91376 ,88972 ,180525 ,81437 ,91408 ,89117 ,180822 ,81677 ,91589 ,89233 ,181109 ,81926 ,91720 ,89389 ,181334 ,82132 ,91790 ,89544 ,181418 ,82336 ,91812 ,89606 ,181358 ,82438 ,91775 ,89583 ,181245 ,82483 ,91745 ,89500 
