행정구역,2012년01월_총인구수,2012년01월_세대수,2012년01월_남자 인구수,2012년01월_여자 인구수,2012년02월_총인구수,2012년02월_세대수,2012년02월_남자 인구수,2012년02월_여자 인구수,2012년03월_총인구수,2012년03월_세대수,2012년03월_남자 인구수,2012년03월_여자 인구수,2012년04월_총인구수,2012년04월_세대수,2012년04월_남자 인구수,2012년04월_여자 인구수,2012년05월_총인구수,2012년05월_세대수,2012년05월_남자 인구수,2012년05월_여자 인구수,2012년06월_총인구수,2012년06월_세대수,2012년06월_남자 인구수,2012년06월_여자 인구수,2012년07월_총인구수,2012년07월_세대수,2012년07월_남자 인구수,2012년07월_여자 인구수,2012년08월_총인구수,2012년08월_세대수,2012년08월_남자 인구수,2012년08월_여자 인구수,2012년09월_총인구수,2012년09월_세대수,2012년09월_남자 인구수,2012년09월_여자 인구수,2012년10월_총인구수,2012년10월_세대수,2012년10월_남자 인구수,2012년10월_여자 인구수,2012년11월_총인구수,2012년11월_세대수,2012년11월_남자 인구수,2012년11월_여자 인구수,2012년12월_총인구수,2012년12월_세대수,2012년12월_남자 인구수,2012년12월_여자 인구수
제주특별자치도  (5000000000),576507 ,228078 ,288378 ,288129 ,577094 ,228606 ,288701 ,288393 ,577812 ,229079 ,289106 ,288706 ,578437 ,229418 ,289409 ,289028 ,579260 ,229862 ,289833 ,289427 ,579859 ,230230 ,290194 ,289665 ,580794 ,230679 ,290710 ,290084 ,581340 ,231011 ,290971 ,290369 ,582022 ,231295 ,291287 ,290735 ,582693 ,231648 ,291659 ,291034 ,583293 ,231980 ,291973 ,291320 ,583713 ,232141 ,292213 ,291500 
제주특별자치도  (5000000000),576507 ,228078 ,288378 ,288129 ,577094 ,228606 ,288701 ,288393 ,577812 ,229079 ,289106 ,288706 ,578437 ,229418 ,289409 ,289028 ,579260 ,229862 ,289833 ,289427 ,579859 ,230230 ,290194 ,289665 ,580794 ,230679 ,290710 ,290084 ,581340 ,231011 ,290971 ,290369 ,582022 ,231295 ,291287 ,290735 ,582693 ,231648 ,291659 ,291034 ,583293 ,231980 ,291973 ,291320 ,583713 ,232141 ,292213 ,291500 
제주특별자치도  (5000000000),576507 ,228078 ,288378 ,288129 ,577094 ,228606 ,288701 ,288393 ,577812 ,229079 ,289106 ,288706 ,578437 ,229418 ,289409 ,289028 ,579260 ,229862 ,289833 ,289427 ,579859 ,230230 ,290194 ,289665 ,580794 ,230679 ,290710 ,290084 ,581340 ,231011 ,290971 ,290369 ,582022 ,231295 ,291287 ,290735 ,582693 ,231648 ,291659 ,291034 ,583293 ,231980 ,291973 ,291320 ,583713 ,232141 ,292213 ,291500 
