행정구역,2022년01월_총인구수,2022년01월_세대수,2022년01월_남자 인구수,2022년01월_여자 인구수,2022년02월_총인구수,2022년02월_세대수,2022년02월_남자 인구수,2022년02월_여자 인구수,2022년03월_총인구수,2022년03월_세대수,2022년03월_남자 인구수,2022년03월_여자 인구수,2022년04월_총인구수,2022년04월_세대수,2022년04월_남자 인구수,2022년04월_여자 인구수,2022년05월_총인구수,2022년05월_세대수,2022년05월_남자 인구수,2022년05월_여자 인구수,2022년06월_총인구수,2022년06월_세대수,2022년06월_남자 인구수,2022년06월_여자 인구수,2022년07월_총인구수,2022년07월_세대수,2022년07월_남자 인구수,2022년07월_여자 인구수,2022년08월_총인구수,2022년08월_세대수,2022년08월_남자 인구수,2022년08월_여자 인구수,2022년09월_총인구수,2022년09월_세대수,2022년09월_남자 인구수,2022년09월_여자 인구수,2022년10월_총인구수,2022년10월_세대수,2022년10월_남자 인구수,2022년10월_여자 인구수,2022년11월_총인구수,2022년11월_세대수,2022년11월_남자 인구수,2022년11월_여자 인구수,2022년12월_총인구수,2022년12월_세대수,2022년12월_남자 인구수,2022년12월_여자 인구수
제주특별자치도  (5000000000),676691 ,307819 ,339071 ,337620 ,677143 ,308530 ,339248 ,337895 ,677218 ,308988 ,339320 ,337898 ,677413 ,309322 ,339383 ,338030 ,677766 ,309822 ,339578 ,338188 ,678012 ,310265 ,339697 ,338315 ,678491 ,310747 ,339951 ,338540 ,679016 ,311272 ,340105 ,338911 ,678426 ,311115 ,339801 ,338625 ,678324 ,311251 ,339731 ,338593 ,678373 ,311303 ,339758 ,338615 ,678159 ,311355 ,339590 ,338569 
제주특별자치도 제주시 (5011000000),492919 ,220126 ,246352 ,246567 ,492919 ,220558 ,246383 ,246536 ,493023 ,220899 ,246449 ,246574 ,493076 ,221135 ,246450 ,246626 ,493275 ,221471 ,246548 ,246727 ,493538 ,221890 ,246672 ,246866 ,493898 ,222251 ,246826 ,247072 ,494059 ,222610 ,246892 ,247167 ,493575 ,222460 ,246644 ,246931 ,493459 ,222496 ,246594 ,246865 ,493543 ,222554 ,246655 ,246888 ,493389 ,222599 ,246504 ,246885 
제주특별자치도 서귀포시 (5013000000),183772 ,87693 ,92719 ,91053 ,184224 ,87972 ,92865 ,91359 ,184195 ,88089 ,92871 ,91324 ,184337 ,88187 ,92933 ,91404 ,184491 ,88351 ,93030 ,91461 ,184474 ,88375 ,93025 ,91449 ,184593 ,88496 ,93125 ,91468 ,184957 ,88662 ,93213 ,91744 ,184851 ,88655 ,93157 ,91694 ,184865 ,88755 ,93137 ,91728 ,184830 ,88749 ,93103 ,91727 ,184770 ,88756 ,93086 ,91684 
