행정구역,2014년01월_총인구수,2014년01월_세대수,2014년01월_남자 인구수,2014년01월_여자 인구수,2014년02월_총인구수,2014년02월_세대수,2014년02월_남자 인구수,2014년02월_여자 인구수,2014년03월_총인구수,2014년03월_세대수,2014년03월_남자 인구수,2014년03월_여자 인구수,2014년04월_총인구수,2014년04월_세대수,2014년04월_남자 인구수,2014년04월_여자 인구수,2014년05월_총인구수,2014년05월_세대수,2014년05월_남자 인구수,2014년05월_여자 인구수,2014년06월_총인구수,2014년06월_세대수,2014년06월_남자 인구수,2014년06월_여자 인구수,2014년07월_총인구수,2014년07월_세대수,2014년07월_남자 인구수,2014년07월_여자 인구수,2014년08월_총인구수,2014년08월_세대수,2014년08월_남자 인구수,2014년08월_여자 인구수,2014년09월_총인구수,2014년09월_세대수,2014년09월_남자 인구수,2014년09월_여자 인구수,2014년10월_총인구수,2014년10월_세대수,2014년10월_남자 인구수,2014년10월_여자 인구수,2014년11월_총인구수,2014년11월_세대수,2014년11월_남자 인구수,2014년11월_여자 인구수,2014년12월_총인구수,2014년12월_세대수,2014년12월_남자 인구수,2014년12월_여자 인구수
제주특별자치도  (5000000000),594623 ,238894 ,297920 ,296703 ,595913 ,239690 ,298658 ,297255 ,596941 ,240259 ,299154 ,297787 ,598015 ,240933 ,299643 ,298372 ,599122 ,241639 ,300313 ,298809 ,600284 ,242291 ,300896 ,299388 ,601467 ,242954 ,301495 ,299972 ,602521 ,243572 ,302021 ,300500 ,603567 ,244175 ,302551 ,301016 ,604771 ,244973 ,303183 ,301588 ,606072 ,245713 ,303894 ,302178 ,607346 ,246516 ,304656 ,302690 
제주특별자치도 제주시 (5011000000),438852 ,173621 ,219340 ,219512 ,439875 ,174164 ,219911 ,219964 ,440571 ,174508 ,220289 ,220282 ,441387 ,174960 ,220666 ,220721 ,442166 ,175434 ,221136 ,221030 ,443159 ,175944 ,221668 ,221491 ,444144 ,176433 ,222148 ,221996 ,444967 ,176895 ,222535 ,222432 ,445727 ,177319 ,222905 ,222822 ,446749 ,177911 ,223408 ,223341 ,447789 ,178466 ,223968 ,223821 ,448834 ,179090 ,224581 ,224253 
제주특별자치도 서귀포시 (5013000000),155771 ,65273 ,78580 ,77191 ,156038 ,65526 ,78747 ,77291 ,156370 ,65751 ,78865 ,77505 ,156628 ,65973 ,78977 ,77651 ,156956 ,66205 ,79177 ,77779 ,157125 ,66347 ,79228 ,77897 ,157323 ,66521 ,79347 ,77976 ,157554 ,66677 ,79486 ,78068 ,157840 ,66856 ,79646 ,78194 ,158022 ,67062 ,79775 ,78247 ,158283 ,67247 ,79926 ,78357 ,158512 ,67426 ,80075 ,78437 
